rank,code,ticker,company_name,sector,exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,is_phase1_top5,phase1_top5_name,phase3_handoff_note
726,7460,7460.T,"YAGI & CO.,LTD.",Wholesale Trade,0.7572552958533139,0.6497248300420848,0.4552727272727273,0.5959894806048652,0.8333333333333334,0.5495114006514659,1.0,0.4988706034204582,0.0,0.0,0.0,0.0,1.1376321923350925,0.06916538134333,0.3049396434163341,0.8333333333333334,-0.0252636431127279,70254616.66666667,False,,False,,Sensitivity reference pool.
727,8291,8291.T,"NISSAN TOKYO SALES HOLDINGS CO.,LTD.",Retail Trade,0.7572286020770744,0.8484946584655229,0.9305454545454546,0.6785009861932939,0.3333333333333333,0.255700325732899,1.0,0.5359793481768312,0.0,0.0,0.0,0.0,1.738749860590441,0.1819971739891378,0.3646954604917543,0.3333333333333333,0.0105751546564119,88925090.0,False,,False,,Sensitivity reference pool.
728,7994,7994.T,OKAMURA CORPORATION,Other Products,0.7572182891899151,0.4923923599870508,0.7250909090909091,0.6788297172912557,0.8333333333333334,0.0684039087947883,1.0,0.7844465956760245,0.0,0.0,0.0,0.0,0.8682387195721764,0.1026343272939491,0.3649703953739313,0.8333333333333334,0.0738645315109354,456281468.3333333,False,,False,,Sensitivity reference pool.
729,3097,3097.T,The Monogatari Corporation,Retail Trade,0.7572015291297007,0.0611848494658465,0.1461818181818182,0.9783037475345168,0.6666666666666666,0.8785016286644951,1.0,0.8515650209745079,0.0,0.0,0.0,0.0,0.2220153727052278,0.0349546054291379,1.0894010212627996,0.6666666666666666,-0.0809112101271799,838203425.0,False,,False,,Sensitivity reference pool.
730,4465,4465.T,"Niitaka Co., Ltd.",Chemicals,0.757027070265313,0.6620265458077048,0.8752727272727273,0.6995397764628534,0.8333333333333334,0.15179153094462539,1.0,0.3594707970313004,0.0,0.0,0.0,0.0,1.161021208818342,0.1420516307651207,0.3823085943154072,0.8333333333333334,0.0335947169138296,28123728.333333332,False,,False,,Sensitivity reference pool.
731,3662,3662.T,"Ateam Holdings Co.,Ltd.",Information & Communication,0.7570238421369307,0.250566526383943,0.3516363636363636,0.9921104536489151,0.8333333333333334,0.6390879478827362,1.0,0.5146821555340433,0.0,0.0,0.0,0.0,0.5128831237143909,0.0589572267853602,1.349332631994214,0.8333333333333334,-0.0361904761904761,76323586.66666667,False,,False,,Sensitivity reference pool.
732,2681,2681.T,GEO HOLDINGS CORPORATION,Retail Trade,0.7569789789138652,0.6432502427970217,0.3352727272727273,0.8964497041420119,0.5,0.4482084690553746,1.0,0.7579864472410455,0.0,0.0,0.0,0.0,1.1161655838869795,0.0571968701643661,0.6751039330398289,0.5,-0.0139523734739591,374649705.0,False,,False,,Sensitivity reference pool.
733,7532,7532.T,Pan Pacific International Holdings Corporation,Retail Trade,0.7568028979973423,0.0793136937520233,0.1621818181818181,0.7928994082840237,1.0,0.5661237785016286,1.0,0.9796708615682478,0.0,0.0,0.0,0.0,0.2558062917188096,0.037107272789644,0.4743353191804774,1.0,-0.0269924331336502,9741535810.79661,False,,False,,Sensitivity reference pool.
734,5284,5284.T,"YAMAU HOLDINGS CO.,LTD.",Glass and Ceramics Products,0.7567700560285293,0.5286500485594043,0.9298181818181818,0.6959237343852729,0.8333333333333334,0.2579804560260587,1.0,0.33430138754436917,0.0,0.0,0.0,0.0,0.9203645378709138,0.1816035444416072,0.3779424026587966,0.8333333333333334,0.010320608475032,23333450.0,False,,False,,Sensitivity reference pool.
735,8803,8803.T,"HEIWA REAL ESTATE CO.,LTD.",Real Estate,0.7566594012969294,0.79281320815798,0.8265454545454546,0.0118343195266272,0.6666666666666666,0.46449511400651466,1.0,0.8170377541142304,0.0,0.0,0.0,0.0,1.5202978362789097,0.1232353562657969,0.0453972317365883,0.6666666666666666,-0.0157064638046322,591125973.3333334,False,,False,,Sensitivity reference pool.
736,5587,5587.T,Inbound Platform Corp.,Information & Communication,0.7566583701386804,0.2421495629653609,0.496,0.9411571334648258,0.6666666666666666,0.9775244299674267,1.0,0.2558889964504679,0.0,0.0,0.0,0.0,0.5033775566767728,0.0728589246119734,0.8369541395751419,0.6666666666666666,-0.1758106684691052,12371028.333333334,False,,False,,Sensitivity reference pool.
