code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1720,2025,39666000000.0,76145000000.0,23641000000.0,1236000000.0,739000000.0,1237000000.0,5580000000.0,21130000000.0,ok,26710000000.0
1721,2023,40788000000.0,286284000000.0,143236000000.0,91000000.0,3864000000.0,10376000000.0,3950000000.0,179000000.0,ok,4129000000.0
1721,2024,51932000000.0,300918000000.0,147410000000.0,121000000.0,11939000000.0,10631000000.0,3984000000.0,70000000.0,ok,4054000000.0
1721,2025,38146000000.0,317908000000.0,147059000000.0,114000000.0,3265000000.0,11492000000.0,2996000000.0,13000000.0,ok,3009000000.0
1723,2023,8487000000.0,30045000000.0,862000000.0,107000000.0,168000000.0,369000000.0,,,ok,
1723,2024,8530000000.0,32969000000.0,872000000.0,79000000.0,296000000.0,388000000.0,,,ok,
1723,2025,10746000000.0,37856000000.0,872000000.0,76000000.0,542000000.0,426000000.0,,,ok,
1724,2023,1179000000.0,3920000000.0,2762000000.0,160000000.0,708000000.0,172000000.0,364000000.0,400000000.0,ok,764000000.0
1724,2024,948000000.0,4342000000.0,2791000000.0,135000000.0,232000000.0,204000000.0,2280000000.0,336000000.0,ok,2616000000.0
1724,2025,903000000.0,4445000000.0,2722000000.0,175000000.0,162000000.0,216000000.0,1099000000.0,384000000.0,ok,1483000000.0
1726,2023,1820000000.0,7912000000.0,5042000000.0,56000000.0,198000000.0,363000000.0,10399000000.0,5566000000.0,ok,15965000000.0
1726,2024,1816000000.0,8719000000.0,5080000000.0,71000000.0,406000000.0,366000000.0,13699000000.0,3366000000.0,ok,17065000000.0
1726,2025,1680000000.0,9293000000.0,6410000000.0,90000000.0,1750000000.0,424000000.0,15560000000.0,3476000000.0,ok,19036000000.0
1736,2023,4549772000.0,17027719000.0,3242154000.0,50976000.0,-579822000.0,209795000.0,976718000.0,212692000.0,ok,1189410000.0
1736,2024,6298851000.0,17970923000.0,3423729000.0,51615000.0,-346155000.0,235304000.0,1424564000.0,84018000.0,ok,1508582000.0
1736,2025,8341066000.0,20193030000.0,3911289000.0,52839000.0,-734689000.0,302304000.0,1306708000.0,329676000.0,ok,1636384000.0
1758,2024,3254721000.0,8020792000.0,2193139000.0,52286000.0,394000000.0,351430000.0,133332000.0,111112000.0,ok,244444000.0
1758,2025,2970716000.0,8180935000.0,1972001000.0,54433000.0,189000000.0,418255000.0,111112000.0,,ok,111112000.0
1758,2026,3619902000.0,8544455000.0,2075249000.0,59554000.0,438000000.0,319648000.0,52769000.0,83344000.0,ok,136113000.0
1762,2023,36047000000.0,121233000000.0,47580000000.0,617000000.0,7409000000.0,1381000000.0,,15000000000.0,ok,15000000000.0
1762,2024,26785000000.0,127822000000.0,46880000000.0,588000000.0,2143000000.0,1973000000.0,6000000000.0,15000000000.0,ok,21000000000.0
1762,2025,35723000000.0,130932000000.0,46816000000.0,576000000.0,1679000000.0,2051000000.0,15000000000.0,5000000000.0,ok,20000000000.0
1764,2023,1307705000.0,3423287000.0,3178963000.0,,113000000.0,318691000.0,2554732000.0,1111997000.0,ok,3666729000.0
1764,2024,3267880000.0,3505005000.0,2990602000.0,,95000000.0,266874000.0,2125948000.0,1126897000.0,ok,3252845000.0
1764,2025,2029887000.0,4015466000.0,3981035000.0,,403000000.0,287724000.0,3073090000.0,1987807000.0,ok,5060897000.0
1766,2023,108479000000.0,110519000000.0,42460000000.0,,1502000000.0,2221000000.0,,,ok,
1766,2024,119323000000.0,116101000000.0,41932000000.0,,1748000000.0,2012000000.0,,,ok,
1766,2025,134944000000.0,128519000000.0,41847000000.0,,2869000000.0,2146000000.0,,,ok,
1768,2023,5581118000.0,7395474000.0,1361984000.0,,414000000.0,71265000.0,,,ok,
1768,2024,2651975000.0,7321266000.0,1324162000.0,,22000000.0,57066000.0,,,ok,
1768,2025,1305396000.0,7602960000.0,1535737000.0,,328000000.0,80465000.0,,,ok,
1770,2023,8022014000.0,15272794000.0,3375833000.0,,-161052000.0,210869000.0,855000000.0,,ok,855000000.0
1770,2024,8433138000.0,16461166000.0,3425771000.0,,-96729000.0,215158000.0,855000000.0,,ok,855000000.0
1770,2025,7663185000.0,16974126000.0,3288598000.0,,-433536000.0,217135000.0,355000000.0,50000000.0,ok,405000000.0
1776,2023,10713000000.0,10366000000.0,5989000000.0,62000000.0,1063000000.0,470000000.0,,,ok,
1776,2024,11178000000.0,10630000000.0,6221000000.0,54000000.0,900000000.0,548000000.0,,,ok,
1776,2025,7027000000.0,10428000000.0,5914000000.0,63000000.0,321000000.0,587000000.0,,,ok,
1780,2023,7809315000.0,12589828000.0,3103235000.0,14516000.0,120000000.0,387642000.0,,,ok,
1780,2024,12960570000.0,15471358000.0,3325526000.0,12795000.0,480000000.0,380389000.0,,,ok,
1780,2025,12150760000.0,18189807000.0,3604009000.0,51538000.0,276000000.0,332783000.0,,,ok,
1783,2023,2586486000.0,-4962911000.0,37116000.0,,-22333000.0,11045000.0,385536000.0,3772000.0,ok,389308000.0
1783,2024,2676233000.0,-4672351000.0,789726000.0,,-773887000.0,21421000.0,3575969000.0,723476000.0,ok,4299445000.0
1783,2025,1463949000.0,-4911951000.0,1068095000.0,,-408398000.0,49804000.0,1769445000.0,728895000.0,ok,2498340000.0
1786,2023,13903000000.0,40354000000.0,9604000000.0,717000000.0,980000000.0,1488000000.0,1488000000.0,2611000000.0,ok,4099000000.0
1786,2024,20180000000.0,42538000000.0,10314000000.0,745000000.0,1848000000.0,1496000000.0,973000000.0,2538000000.0,ok,3511000000.0
1786,2025,19877000000.0,44241000000.0,12715000000.0,984000000.0,2511000000.0,1360000000.0,1392000000.0,2824000000.0,ok,4216000000.0
1787,2023,3418339000.0,6643341000.0,749236000.0,201324000.0,215000000.0,147384000.0,,,ok,
1787,2024,3928508000.0,6850290000.0,720462000.0,186678000.0,87000000.0,114115000.0,,,ok,
1787,2025,3916164000.0,7306840000.0,723816000.0,201495000.0,125000000.0,124678000.0,,,ok,
1788,2023,1929790000.0,1665801000.0,738725000.0,26251000.0,44377000.0,66132000.0,,,ok,
1788,2024,1294831000.0,1742899000.0,768881000.0,33465000.0,89957000.0,60317000.0,,,ok,
1788,2025,1141009000.0,1912278000.0,847684000.0,21651000.0,146095000.0,67463000.0,5000000.0,,ok,5000000.0
1793,2023,11599000000.0,55617000000.0,8524000000.0,192000000.0,134000000.0,466000000.0,11000000000.0,,ok,11000000000.0
1793,2024,18568000000.0,55828000000.0,8406000000.0,135000000.0,350000000.0,478000000.0,8100000000.0,,ok,8100000000.0
1793,2025,10177000000.0,52179000000.0,8163000000.0,124000000.0,288000000.0,519000000.0,3000000000.0,,ok,3000000000.0
1795,2023,1868051000.0,2663131000.0,1044463000.0,24352000.0,-693000.0,28070000.0,213750000.0,101396000.0,ok,315146000.0
1795,2024,2279284000.0,2817191000.0,1196687000.0,32260000.0,-7208000.0,27682000.0,221096000.0,810110000.0,ok,1031206000.0
1795,2025,3294863000.0,3111670000.0,1207170000.0,32971000.0,-21622000.0,30072000.0,276242000.0,637516000.0,ok,913758000.0
1798,2023,8534914000.0,9712417000.0,3646724000.0,33880000.0,1000000.0,175305000.0,800000000.0,,ok,800000000.0
1798,2024,5029579000.0,11165664000.0,3667604000.0,34586000.0,14000000.0,175242000.0,800000000.0,,ok,800000000.0
1798,2025,7529713000.0,12642572000.0,3966464000.0,23912000.0,40000000.0,196095000.0,815348000.0,21649000.0,ok,836997000.0
1799,2023,16084626000.0,58756298000.0,20380118000.0,118994000.0,4745000000.0,2072881000.0,,,ok,
1799,2024,18021078000.0,60568863000.0,20263243000.0,123524000.0,2076000000.0,2241577000.0,,,ok,
1799,2025,17361479000.0,64254555000.0,21340495000.0,132944000.0,3083000000.0,2012071000.0,,,ok,
1801,2023,415863000000.0,562774000000.0,213349000000.0,16800000000.0,2300000000.0,11478000000.0,81965000000.0,119606000000.0,ok,201571000000.0
1801,2024,430754000000.0,558721000000.0,332715000000.0,18600000000.0,1030000000.0,13110000000.0,110530000000.0,192787000000.0,ok,303317000000.0
1801,2025,295963000000.0,649200000000.0,246745000000.0,19500000000.0,77000000.0,16391000000.0,115212000000.0,177799000000.0,ok,293011000000.0
1802,2023,405633000000.0,728087000000.0,692545000000.0,15330000000.0,19900000000.0,23941000000.0,67170000000.0,174051000000.0,ok,241221000000.0
1802,2024,326688000000.0,773841000000.0,735914000000.0,16538000000.0,22400000000.0,27117000000.0,68142000000.0,171614000000.0,ok,239756000000.0
1802,2025,380169000000.0,853125000000.0,737577000000.0,16393000000.0,18900000000.0,32457000000.0,97532000000.0,187680000000.0,ok,285212000000.0
