code,ticker,company_name,sector_33,total_assets,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag,gross_profitability,gross_profitability_available,gross_profitability_review_flag
3719,3719.T,"AI storm Co.,Ltd.",Information & Communication,5059487000.0,S100XV8F,946308000.0,2653555000.0,1707246000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.18703635368566024,True,False
9355,9355.T,RINKO CORPORATION,Warehousing and Harbor Transportation Service,38500510000.0,S100W4QY,1769693000.0,13542957000.0,11773263000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.04596544305516992,True,False
3176,3176.T,"Sanyo Trading Co.,Ltd.",Wholesale Trade,81496043000.0,S100XABQ,22564081000.0,132703798000.0,110139717000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2768733323653518,True,False
3178,3178.T,"CHIMNEY CO.,LTD.",Retail Trade,16726116000.0,S100VXGN,18013470000.0,26219315000.0,8205844000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,1.0769667028496035,True,False
6630,6630.T,YA-MAN LTD.,Electric Appliances,27889000000.0,S100XSSJ,9539000000.0,17246000000.0,7706000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.34203449388647855,True,False
6070,6070.T,"CAREERLINK CO.,LTD.",Services,19878390000.0,S100W325,8199473000.0,40397672000.0,32198198000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4124817452520048,True,False
2264,2264.T,"MORINAGA MILK INDUSTRY CO.,LTD.",Foods,520423000000.0,S100W4TH,135053000000.0,561173000000.0,426120000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.25950620937199165,True,False
8214,8214.T,AOKI Holdings Inc.,Retail Trade,232976000000.0,S100W5EZ,80690000000.0,192688000000.0,111998000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.34634468786484446,True,False
7082,7082.T,"Jimoty,Inc.",Services,2450577000.0,S100XTWJ,1766428000.0,1932044000.0,165616000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.7208212596461976,True,False
5243,5243.T,note inc.,Information & Communication,6145256000.0,S100XMWX,3876505000.0,4141280000.0,264774000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.630812613827642,True,False
3031,3031.T,"RACCOON HOLDINGS,Inc.",Information & Communication,16217838000.0,S100WE54,4936168000.0,6098405000.0,1162236000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.30436658696430435,True,False
9558,9558.T,"Japaniace Co.,Ltd.",Services,5786357000.0,S100XN61,2900082000.0,12084720000.0,9184637000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.5011930649975451,True,False
3036,3036.T,ALCONIX CORPORATION,Wholesale Trade,206309000000.0,S100VYH5,26021000000.0,197004000000.0,170983000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.12612634446388668,True,False
8276,8276.T,"HEIWADO CO.,LTD.",Retail Trade,338527000000.0,S100Y2FB,165977000000.0,456010000000.0,290033000000.0,direct_gross_profit,OperatingGrossProfit,OperatingRevenue1,CostOfSales,0.4902917640247307,True,False
8881,8881.T,"NISSHIN GROUP HOLDINGS Company,Limited",Real Estate,133300711000.0,S100W4EZ,10412235000.0,76235977000.0,65823741000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.07811087369218908,True,False
2782,2782.T,"Seria Co.,Ltd.",Retail Trade,141496000000.0,S100W43L,97937000000.0,236327000000.0,138389000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfGoodsSold,0.6921538418047153,True,False
5344,5344.T,"MARUWA CO.,LTD.",Glass and Ceramics Products,142285000000.0,S100VXWG,39472000000.0,71849000000.0,32377000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2774150472642935,True,False
4918,4918.T,IVY COSMETICS CORPORATION,Chemicals,3567189000.0,S100W69G,2065186000.0,2929931000.0,864745000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.5789393272966473,True,False
7864,7864.T,"FUJI SEAL INTERNATIONAL,INC.",Other Products,214023000000.0,S100W1PG,44989000000.0,212345000000.0,167356000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.21020637968816436,True,False
7462,7462.T,CAPITA Inc.,Retail Trade,2888862000.0,S100W8M6,909448000.0,3369499000.0,2460051000.0,direct_gross_profit,GrossProfit,NetSales,CostOfGoodsSold,0.3148118532487879,True,False
5602,5602.T,"Kurimoto,Ltd.",Iron and Steel,151538000000.0,S100W0Y7,33282000000.0,126669000000.0,93386000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2196280800855231,True,False
8057,8057.T,"UCHIDA YOKO CO.,LTD.",Wholesale Trade,174917000000.0,S100WU40,52387000000.0,337055000000.0,284668000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2994963325462934,True,False
