ticker,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days
3653.T,2026-06-01,662.0,662.0,14600.0,27198426.666666668,1222
3656.T,2026-06-01,229.0,229.0,7577500.0,4125604891.6666665,1222
3657.T,2026-06-01,300.0,300.0,110400.0,60802366.666666664,1222
3659.T,2026-06-01,2307.0,2307.0,2431100.0,6696387295.0,1222
3660.T,2026-06-01,385.0,385.0,1202800.0,526125480.0,1222
3661.T,2026-06-01,637.0,637.0,1020400.0,571522431.6666666,1222
3662.T,2026-06-01,958.0,958.0,65200.0,76323586.66666667,1222
3663.T,2026-06-01,1720.0,1720.0,322400.0,252165991.66666666,1222
3664.T,2026-06-01,24.0,24.0,7082600.0,180657430.0,1222
3665.T,2026-06-01,354.0,354.0,175400.0,87946038.33333333,1222
3667.T,2026-06-01,31.0,31.0,2417200.0,49756483.333333336,1222
3668.T,2026-06-01,386.0,386.0,1003700.0,208891755.0,1222
3670.T,2026-06-01,1628.0,1628.0,1300.0,8526513.333333334,1222
3671.T,2026-06-01,302.0,302.0,80500.0,27527960.0,1222
3672.T,2026-06-01,30.0,30.0,320000.0,23276993.333333332,1222
3673.T,2026-06-01,910.0,910.0,460000.0,575555240.0,1222
3674.T,2026-06-01,324.0,324.0,4900.0,2128755.0,1222
3675.T,2026-06-01,558.0,558.0,79800.0,24115630.0,1222
3676.T,2026-06-01,738.0,738.0,67900.0,89646230.0,1222
3678.T,2026-06-01,1281.0,1281.0,67800.0,118677485.0,1222
3679.T,2026-06-01,393.0,393.0,324800.0,144425693.33333334,1222
3680.T,2026-06-01,238.0,238.0,186900.0,11558555.0,1222
3681.T,2026-06-01,24.0,24.0,1467600.0,145035240.0,1222
3682.T,2026-06-01,584.0,584.0,1000.0,2693113.3333333335,1222
3683.T,2026-06-01,1095.0,1095.0,12400.0,41969486.666666664,1222
3686.T,2026-06-01,88.0,88.0,192200.0,22670738.333333332,1222
3687.T,2026-06-01,2570.0,2570.0,8156200.0,2292146523.3333335,1222
3690.T,2026-06-01,527.0,527.0,2800.0,4248780.0,1222
3691.T,2026-06-01,1678.0,1678.0,60700.0,94310193.33333333,1222
3692.T,2026-06-01,5850.0,5850.0,121800.0,1082947733.3333333,1222
3694.T,2026-06-01,431.0,431.0,359100.0,92127955.0,1222
3695.T,2026-06-01,1718.0,1718.0,1000.0,4858793.333333333,1222
3696.T,2026-06-01,1832.0,1832.0,228300.0,326841798.3333333,1222
3697.T,2026-06-01,727.2000122070312,727.2000122070312,13497700.0,5806373240.805766,1222
3698.T,2026-06-01,1066.0,1066.0,22800.0,18297555.0,1222
3708.T,2026-06-01,1743.0,1743.0,89100.0,112315168.33333333,1222
3710.T,2026-06-01,612.0,612.0,1100.0,14333583.333333334,1222
3712.T,2026-06-01,948.0,948.0,9600.0,15090305.0,1222
3719.T,2026-06-01,208.0,208.0,797600.0,185740190.0,1222
3723.T,2026-06-01,2349.0,2349.0,14200.0,35234886.666666664,1222
3726.T,2026-06-01,366.0,366.0,109500.0,18631673.333333332,1222
3727.T,2026-06-01,141.0,141.0,114700.0,20534688.333333332,1222
3733.T,2026-06-01,10310.0,10310.0,19400.0,59788683.333333336,1222
3741.T,2026-06-01,4035.0,4035.0,239800.0,511867435.0,1222
3744.T,2026-06-01,555.0,555.0,34300.0,36643001.666666664,1222
3747.T,2026-06-01,510.0,510.0,139400.0,52440203.333333336,1222
3750.T,2026-06-01,802.0,802.0,3200.0,4116503.3333333335,1222
3753.T,2026-06-01,181.0,181.0,336100.0,81840916.66666667,1222
3758.T,2026-06-01,230.0,230.0,47800.0,7117691.666666667,1222
3760.T,2026-06-01,604.0,604.0,6500.0,12434678.333333334,1222
3762.T,2026-06-01,1882.0,1882.0,317200.0,619661103.3333334,1222
3763.T,2026-06-01,1640.0,1640.0,64100.0,120789955.0,1222
3765.T,2026-06-01,2305.0,2305.0,306500.0,709168105.0,1222
3766.T,2026-06-01,1271.0,1271.0,500.0,3009141.6666666665,1222
3768.T,2026-06-01,541.0,541.0,1900.0,2372353.3333333335,1222
